"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,68106,"LG",9,1,0,0,0,0,0,0,4,0,0.111,9,0,0,0
2020,7,64504,"LT",9,1,0,0,0,0,3,1,4,0,0.111,13,0,1,0
2020,7,65109,"LG",11,1,0,0,0,0,3,1,5,0,0.091,19,0,0,4
2020,7,66702,"HH",11,1,0,0,0,0,0,1,4,0,0.091,12,0,0,0
2020,7,65653,"HT",23,2,0,0,0,3,1,1,11,0,0.087,27,0,1,2
2020,7,64007,"KT",15,1,0,0,0,0,1,0,7,0,0.067,16,0,0,0
2020,7,50204,"OB",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020,7,63559,"OB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,64213,"OB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,62353,"WO",6,0,0,0,0,0,1,0,2,0,0,7,1,0,0
2020,7,65362,"WO",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020,7,68341,"WO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,63342,"WO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,64260,"SK",18,0,0,0,0,0,0,0,2,0,0,18,0,2,0
2020,7,76869,"SK",4,0,0,0,0,0,0,0,2,0,0,4,0,0,0
2020,7,63894,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,65411,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,66052,"SK",2,0,0,0,0,0,0,0,1,0,0,2,0,0,0
2020,7,64893,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,61895,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,50819,"SK",2,0,0,0,0,0,1,0,1,0,0,3,0,0,0
2020,7,62056,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,50840,"SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,65136,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,78819,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,67164,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,62146,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,63913,"LG",6,0,0,0,0,0,0,0,4,1,0,6,0,0,0
2020,7,64101,"LG",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2020,7,63920,"NC",5,0,0,0,0,0,1,0,2,0,0,6,0,0,0
2020,7,75867,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,76118,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,60566,"NC",7,0,0,0,0,0,2,0,1,1,0,9,4,0,0
2020,7,65062,"KT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,65040,"KT",2,0,0,0,0,0,0,0,1,0,0,2,0,0,0
2020,7,75342,"KT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,67045,"KT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,65060,"KT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,62893,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,50600,"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,60288,"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,64499,"SS",3,0,0,0,0,1,1,0,0,0,0,4,0,0,0
